ID варианта товара,Название товара,Артикул,Цена продажи,Остаток
467763070,Смеситель для кухонной мойки KAISER Decor (40144-10),40144-10,8860.0,0
467763076,Смеситель для кухонной мойки KAISER Merkur (26044-4) под фильтр ф40 Sandbeige,26044-4,9720.0,0
467763108,Смеситель для кухни (мойки) KAISER Nova 23044-5 серебро,23044-5,6780.0,0
467763117,Термостат для ванны с душем D&K Bayern.Potsdam DA2113201 хром,DA2113201,8490.0,10
467763142,"Смеситель для кухни (мойки) KAISER Carlson (11033), хром",11033,6884.0,
467763154,"Смеситель для кухни (мойки) KAISER Merkur (26844-4), высокий излив, белый",26844-4,6730.0,0
467763163,Смеситель для кухонной мойки KAISER Teka (13144-3),13144-3,6840.0,0
467763167,Смеситель для кухни Bravat Real (F7121179CP-2-RUS),F7121179CP-2-RUS,10200.0,0
467763179,Смеситель для кухни (мойки) KAISER Trio (57033),57033,10234.0,
467763189,Смеситель для кухонной мойки под фильтр KAISER Vincent (31144-2),31144-2,8690.0,0
467763220,"Смеситель для кухни Bravat Fit (F7135188CP-RUS), хром",F7135188CP-RUS,3790.0,0
467763228,"Смеситель для кухни (мойки) KAISER Vincent (31244-7), бежевый мрамор",31244-7,9390.0,0
467763253,"Смеситель для кухни (мойки) KAISER Arena (33066), хром, под фильтр",33066,15534.0,
467763257,Смеситель для раковины (умывальника) KAISER Carlson Style 44411-1 Bronze,44411-1,7950.0,0
467763262,"Смеситель для ванны с душем D&K Rhein.Eucharius DA1373301, длинный излив, хром",DA1373301,6800.0,10
467763267,"Смеситель для ванны с душем D&K Rhein.Mosel DA1263341, длинный излив, хром",DA1263341,8100.0,10
467763269,"Смеситель для кухни (мойки) KAISER Carlson Style (44233), хром",44233,11701.0,
467763279,"Смеситель с гигиеническим душем D&K Bayern.Alfred DA1484501 встраиваемый, хром",DA1484501,12520.0,10
467763292,Душевая система D&K Hessen Goethe DA1384741E09 хром,DA1384741E09,13570.0,10
467763296,"Смеситель для кухни (мойки) KAISER Decor 40144-4 под фильтр, песочный мрамор",40144-4,8860.0,0
467763303,Душевая система KAISER Sonat (34282),34282,31118.0,
467763312,Смеситель для кухни (мойки) KAISER Calla 71044 хром,71044,13751.0,
467763319,"Смеситель для кухни (мойки) KAISER Saga (53044), хром",53044,13484.0,
467763330,Смеситель под фильтр для кухонной мойки KAISER Safira (15066),15066,16034.0,
467763344,"Смеситель для кухни (мойки) KAISER Comba (48033), хром",48033,17384.0,
467763355,"Смеситель для кухни (мойки) KAISER Vincent (31333-3), высокий излив, бронза",31333-3,7750.0,0
467763368,"Смеситель для кухни (мойки) KAISER Merkur (27033), хром",27033,12384.0,
467763376,Смесительдля кухни KAISER Venus 39066-3 Bronze под фильтр Бронза,39066-3,10850.0,0
467763381,Смеситель для кухонной мойки KAISER Carlson Style (44133) под фильтр Chrome,44133,13551.0,
467763391,"Смеситель для кухни (мойки) Bravat Eco (F7111147C-1) высокий излив, хром",F7111147C-1,8100.0,0
467763397,"Смеситель для кухонной мойки KAISER Merkur (26166), с выдвижной лейкой, хром",26166,29751.0,
467763400,Смеситель для кухни (мойки) KAISER Sonat (34044),34044,17084.0,
467763403,"Смеситель для кухни (мойки) KAISER Vincent (31244), под фильтр, хром",31244,15101.0,
467763414,Смеситель для кухни Bravat Opal (F7125183CP-RUS),F7125183CP-RUS,5920.0,0
467763422,"Смеситель для кухни (мойки) KAISER Carlson Style (11133), хром",11133,6251.0,
467763428,"Смеситель для кухни (мойки) KAISER Vincent (31066-3Br), высокий излив, бронза",31066-3Br,10020.0,0
467763433,Смеситель для кухонной мойки KAISER Leon (19310),19310,6501.0,
467763439,"Смеситель для кухни (мойки) KAISER Carlson Lux (11062), хром",11062,6067.0,
467763463,"Смеситель для кухни (мойки) KAISER Aurora (67033), хром",67033,12134.0,
467763469,"Смеситель для кухни (мойки) Bravat Wave (F774108C), хром",F774108C,14380.0,0
467763475,Смеситель KAISER Merkur 26744 боковой под фильтр R-излив хром,26744,14001.0,
467763486,"Смеситель для кухни (мойки) KAISER Vincent (31744-5), высокий излив, хром",31744-5,7860.0,0
