Артикул,Название товара,Остаток,Цена продажи,Закупочная цена,Бренд,Серия
DA1283301,Смеситель для ванны D&K Rhein Feuerbach (DA1283301),10,9720.0,6704.0,D&K,Rhein.Feuerbach
DA1273301,Смеситель для ванны D&K Rhein Reisling (DA1273301),0,9280.0,6400.0,D&K,Rhein.Reisling
DA1432416,Смеситель для кухни D&K Berlin Steinbeis (DA1432416),10,7100.0,4896.0,D&K,Berlin.Steinbeis
DA1443316,Смеситель для ванны D&K Berlin Steinbeis (DA1443316),0,8460.0,5832.0,D&K,Berlin.Steinbeis
DA1443315,Смеситель для ванны D&K Berlin Technische (DA1443315),10,8460.0,5832.0,D&K,Berlin.Technische
DA1443313,Смеситель для ванны D&K Berlin Kunste (DA1443313),10,8460.0,5832.0,D&K,Berlin.Kunste
DA1443312,Смеситель для ванны D&K Berlin Humboldt (DA1443312),10,8460.0,5832.0,D&K,Berlin.Humboldt
DA1384401,Смеситель для раковины встраиваемый D&K Hessen Grimm (DA1384401),0,8440.0,5824.0,D&K,Hessen.Grimm
DA1384801,Смеситель для ванны встраиваемый D&K Hessen Grimm (DA1384801),10,8030.0,5536.0,D&K,Hessen.Grimm
DA1434901,Смеситель для ванны D&K Berlin Freie (DA1434901),10,9170.0,6325.0,D&K,Berlin.Freie
DA1432915,Смеситель для кухни D&K Berlin Technische (DA1432915),0,7090.0,4888.0,D&K,Berlin.Technische
DA1022001,Смеситель для раковины высокий D&K Venice Gondola (DA1022001),10,7110.0,4903.0,D&K,Venice.Gondola
DA1023201,Смеситель для ванны D&K Venice Gondola (DA1023201),10,8160.0,5631.0,D&K,Venice.Gondola
DA1023381,	Смеситель для ванны D&K Venice Gondola (DA1023381),0,8060.0,5757.0,D&K,Venice.Gondola
DA1023241,Смеситель для ванны D&K Venice Gondola (DA1023241),10,8400.0,5794.0,D&K,Venice.Gondola
DA1022018,Смеситель для раковины высокий D&K Venice Gondola (DA1022018),0,7890.0,5443.0,D&K,Venice.Gondola
DA1022418,Смеситель для кухни D&K Venice Gondola (DA1022418),10,7230.0,4988.0,D&K,Venice.Gondola
DA1033201,Смеситель для ванны D&K Venice Baciano (DA1033201),0,8330.0,5743.0,D&K,Venice.Baciano
DA1033301,Смеситель для ванны D&K Venice Baciano (DA1033301),0,8840.0,6096.0,D&K,Venice.Baciano
DA1033321,Смеситель для ванны D&K Venice Baciano (DA1033321),0,7990.0,5707.0,D&K,Venice.Baciano
DA1032041,Смеситель для раковины высокий D&K Venice Baciano (DA1032041),10,7580.0,5228.0,D&K,Venice.Baciano
DA1032659,Смеситель для раковины D&K Venice Baciano (DA1032659),10,7000.0,4825.0,D&K,Venice.Baciano
DA1032059,Смеситель для раковины высокий D&K Venice Baciano (DA1032059),10,8420.0,5810.0,D&K,Venice.Baciano
DA1032459,Смеситель для кухни D&K Venice Baciano (DA1032459),10,7050.0,4860.0,D&K,Venice.Baciano
DA1432916,Смеситель для кухни D&K Berlin Steinbeis (DA1432916),0,7090.0,4888.0,D&K,Berlin.Steinbeis
DA1032001,Смеситель для раковины высокий D&K Venice Baciano (DA1032001),10,7080.0,4885.0,D&K,Venice.Baciano
DA1032401,Смеситель для кухни D&K Venice Baciano (DA1032401),10,7420.0,5116.0,D&K,Venice.Baciano
DA1032056,Смеситель для раковины высокий D&K Venice Baciano (DA1032056),0,7990.0,5511.0,D&K,Venice.Baciano
DA1063201,Смеситель для ванны D&K Venice Rialto (DA1063201),10,7340.0,5065.0,D&K,Venice.Rialto
DA1063301,Смеситель для ванны D&K Venice Rialto (DA1063301),10,9510.0,6556.0,D&K,Venice.Rialto
DA1062041,Смеситель для раковины высокий D&K Venice Rialto (DA1062041),10,7590.0,5236.0,D&K,Venice.Rialto
DA1395201,Смеситель для душа встраиваемый D&K Rhein Marx (DA1395201),0,7800.0,5376.0,D&K,Rhein.Marx
DA2113201,Смеситель для ванны D&K Bayern Potsdam (DA2113201),10,8490.0,5856.0,D&K,Bayern.Potsdam
DA2153101,Смеситель для душа D&K Bayern Potsdam (DA2153101),10,7780.0,5364.0,D&K,Bayern.Potsdam
